
Timeout                                  :10
Think Time                               :4
Number of Requests                       :120
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.1
Round Robin Quantum Time                 :0.05
Interarrival Mean Time                   :1
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.23360				99.00000				Scheduling				0				Web Server				Web Server				
0.23547				58.00000				Departure				0				Web Server				DBMS Server				
0.24224				29.00000				Scheduling				0				Web Server				Web Server				
0.24563				99.00000				Departure				0				Web Server				DBMS Server				
0.24643				81.00000				Departure				NA				Web Server				Client Station				
0.24760				34.00000				Arrival					0				DBMS Server				Web Server				
0.24932					86.00000				Departure				0				Client Station				Web Server				
0.25099				108.00000				Departure				NA				Web Server				Client Station				
0.25332				18.00000				Scheduling				0				Web Server				Web Server				
0.26343					54.00000				Departure				0				Client Station				Web Server				
0.27064				54.00000				Departure				0				Web Server				DBMS Server				
0.27050				54.00000				Arrival					0				DBMS Server				Web Server				
0.27073				86.00000				Departure				NA				Web Server				Client Station				
0.27314					41.00000				Departure				0				Client Station				Web Server				
0.27352				58.00000				Arrival					0				DBMS Server				Web Server				
0.27470				18.00000				Departure				NA				Web Server				Client Station				
0.27752					65.00000				Departure				0				Client Station				Web Server				
0.28239				29.00000				Departure				NA				Web Server				Client Station				
0.28795				54.00000				Departure				NA				Web Server				Client Station				
0.29232				99.00000				Arrival					0				DBMS Server				Web Server				
0.29536					59.00000				Departure				0				Client Station				Web Server				
0.29643				34.00000				Scheduling				0				Web Server				Web Server				
0.29911				26.00000				Arrival					0				DBMS Server				Web Server				
0.31238					52.00000				Departure				0				Client Station				Web Server				
0.31396				58.00000				Departure				NA				Web Server				Client Station				
0.31794				34.00000				Departure				0				Web Server				DBMS Server				
0.32073				41.00000				Scheduling				0				Web Server				Web Server				
0.32470				65.00000				Scheduling				0				Web Server				Web Server				
0.32746				41.00000				Departure				0				Web Server				DBMS Server				
0.33780					98.00000				Departure				0				Client Station				Web Server				
0.33732				98.00000				Departure				0				Web Server				DBMS Server				
0.30897				98.00000				Arrival					0				DBMS Server				Web Server				
0.33795				99.00000				Scheduling				0				Web Server				Web Server				
0.33795				59.00000				Scheduling				0				Web Server				Web Server				
0.34643				26.00000				Scheduling				0				Web Server				Web Server				
0.34643				52.00000				Scheduling				0				Web Server				Web Server				
0.34718				98.00000				Departure				NA				Web Server				Client Station				
0.34999				99.00000				Departure				0				Web Server				DBMS Server				
0.35584				41.00000				Arrival					0				DBMS Server				Web Server				
0.35682				59.00000				Departure				NA				Web Server				Client Station				
0.35873					110.00000				Departure				0				Client Station				Web Server				
0.35948					117.00000				Departure				0				Client Station				Web Server				
0.36130					48.00000				Departure				1				Client Station				Web Server				
0.36684				117.00000				Departure				NA				Web Server				Client Station				
0.36684				48.00000				Departure				NA				Web Server				Client Station				
0.37062				34.00000				Arrival					0				DBMS Server				Web Server				
0.37112					43.00000				Departure				0				Client Station				Web Server				
0.37416				65.00000				Departure				0				Web Server				DBMS Server				
0.37684					113.00000				Departure				1				Client Station				Web Server				
0.37823				52.00000				Departure				0				Web Server				DBMS Server				
0.37920					32.00000				Departure				2				Client Station				Web Server				
0.39236				26.00000				Departure				NA				Web Server				Client Station				
0.39236				113.00000				Departure				0				Web Server				DBMS Server				
0.39555					93.00000				Departure				2				Client Station				Web Server				
0.39999				41.00000				Scheduling				2				Web Server				Web Server				
0.39999				32.00000				Departure				NA				Web Server				Client Station				
0.39999				93.00000				Departure				NA				Web Server				Client Station				
0.39999				41.00000				Scheduling				0				Web Server				Web Server				
0.40158					77.00000				Departure				1				Client Station				Web Server				
0.40247				113.00000				Arrival					1				DBMS Server				Web Server				
0.40672				41.00000				Departure				0				Web Server				DBMS Server				
0.40682				110.00000				Scheduling				1				Web Server				Web Server				
0.40682				77.00000				Departure				1				Web Server				DBMS Server				
0.41114				99.00000				Arrival					1				DBMS Server				Web Server				
0.41114				77.00000				Arrival					1				DBMS Server				Web Server				
0.41684				43.00000				Scheduling				1				Web Server				Web Server				
0.41684				34.00000				Scheduling				1				Web Server				Web Server				
0.42066					47.00000				Departure				2				Client Station				Web Server				
0.42320					103.00000				Departure				3				Client Station				Web Server				
0.42707					105.00000				Departure				4				Client Station				Web Server				
0.43183				113.00000				Departure				0				Web Server				DBMS Server				
0.43339					0.00000				Departure				5				Client Station				Web Server				
0.43374					9.00000				Departure				6				Client Station				Web Server				
0.43775					89.00000				Departure				7				Client Station				Web Server				
0.44264				43.00000				Departure				1				Web Server				DBMS Server				
0.44596				110.00000				Departure				2				Web Server				DBMS Server				
0.44755				77.00000				Departure				NA				Web Server				Client Station				
0.44755				34.00000				Scheduling				6				Web Server				Web Server				
0.44755				47.00000				Departure				3				Web Server				DBMS Server				
0.44795					51.00000				Departure				7				Client Station				Web Server				
0.44848					71.00000				Departure				8				Client Station				Web Server				
0.45242				52.00000				Arrival					8				DBMS Server				Web Server				
0.45242				43.00000				Arrival					8				DBMS Server				Web Server				
0.45242				110.00000				Arrival					8				DBMS Server				Web Server				
0.45242				47.00000				Arrival					8				DBMS Server				Web Server				
0.45124				47.00000				Departure				0				Web Server				DBMS Server				
0.45247				113.00000				Arrival					8				DBMS Server				Web Server				
0.45535					63.00000				Departure				9				Client Station				Web Server				
0.45596					5.00000				Departure				10				Client Station				Web Server				
0.45611				47.00000				Arrival					10				DBMS Server				Web Server				
0.45494				47.00000				Departure				0				Web Server				DBMS Server				
0.45682				99.00000				Scheduling				10				Web Server				Web Server				
0.45682				103.00000				Departure				0				Web Server				DBMS Server				
0.45920				41.00000				Arrival					10				DBMS Server				Web Server				
0.45981				47.00000				Arrival					10				DBMS Server				Web Server				
0.46052				47.00000				Departure				0				Web Server				DBMS Server				
0.46351				47.00000				Arrival					10				DBMS Server				Web Server				
0.46422				47.00000				Departure				NA				Web Server				Client Station				
0.46422				105.00000				Departure				NA				Web Server				Client Station				
0.46422				0.00000				Departure				0				Web Server				DBMS Server				
0.46716					104.00000				Departure				9				Client Station				Web Server				
0.47007				65.00000				Arrival					9				DBMS Server				Web Server				
0.47715					46.00000				Departure				10				Client Station				Web Server				
0.48309				113.00000				Departure				NA				Web Server				Client Station				
0.48309				9.00000				Departure				NA				Web Server				Client Station				
0.48309				89.00000				Departure				0				Web Server				DBMS Server				
0.49028				0.00000				Arrival					8				DBMS Server				Web Server				
0.49755				43.00000				Scheduling				8				Web Server				Web Server				
0.49755				110.00000				Scheduling				8				Web Server				Web Server				
0.49755				52.00000				Scheduling				8				Web Server				Web Server				
0.49755				51.00000				Departure				NA				Web Server				Client Station				
0.49755				71.00000				Departure				NA				Web Server				Client Station				
0.49755				63.00000				Departure				NA				Web Server				Client Station				
0.49755				5.00000				Departure				NA				Web Server				Client Station				
0.49755				99.00000				Scheduling				4				Web Server				Web Server				
0.49755				104.00000				Departure				NA				Web Server				Client Station				
0.49755				46.00000				Departure				0				Web Server				DBMS Server				
0.49755				43.00000				Scheduling				3				Web Server				Web Server				
0.50107					83.00000				Departure				4				Client Station				Web Server				
0.50147					94.00000				Departure				5				Client Station				Web Server				
0.50264					56.00000				Departure				6				Client Station				Web Server				
0.50312					42.00000				Departure				7				Client Station				Web Server				
0.50616					35.00000				Departure				8				Client Station				Web Server				
0.50682				41.00000				Scheduling				8				Web Server				Web Server				
0.50986				0.00000				Departure				NA				Web Server				Client Station				
0.50986				99.00000				Scheduling				7				Web Server				Web Server				
0.51009				103.00000				Arrival					7				DBMS Server				Web Server				
0.51422				65.00000				Scheduling				7				Web Server				Web Server				
0.51422				83.00000				Departure				0				Web Server				DBMS Server				
0.51685					79.00000				Departure				8				Client Station				Web Server				
0.51906				34.00000				Departure				0				Web Server				DBMS Server				
0.52667				110.00000				Departure				1				Web Server				DBMS Server				
0.53567				43.00000				Departure				NA				Web Server				Client Station				
0.53567				94.00000				Departure				NA				Web Server				Client Station				
0.53567				56.00000				Departure				NA				Web Server				Client Station				
0.53567				42.00000				Departure				NA				Web Server				Client Station				
0.53567				35.00000				Departure				NA				Web Server				Client Station				
0.53567				41.00000				Scheduling				3				Web Server				Web Server				
0.53714					95.00000				Departure				4				Client Station				Web Server				
0.53862				52.00000				Departure				NA				Web Server				Client Station				
0.53862				65.00000				Scheduling				3				Web Server				Web Server				
0.53862				79.00000				Departure				2				Web Server				DBMS Server				
0.54028				110.00000				Arrival					3				DBMS Server				Web Server				
0.54028				79.00000				Arrival					3				DBMS Server				Web Server				
0.54138					23.00000				Departure				4				Client Station				Web Server				
0.54770				99.00000				Departure				NA				Web Server				Client Station				
0.54770				41.00000				Scheduling				3				Web Server				Web Server				
0.54770				95.00000				Departure				NA				Web Server				Client Station				
0.54770				65.00000				Scheduling				2				Web Server				Web Server				
0.54770				23.00000				Departure				1				Web Server				DBMS Server				
0.55104					68.00000				Departure				3				Client Station				Web Server				
0.55490					102.00000				Departure				4				Client Station				Web Server				
0.55537				89.00000				Arrival					4				DBMS Server				Web Server				
0.55537				23.00000				Arrival					4				DBMS Server				Web Server				
0.55469				23.00000				Departure				0				Web Server				DBMS Server				
0.55986				103.00000				Scheduling				4				Web Server				Web Server				
0.56236				23.00000				Arrival					4				DBMS Server				Web Server				
0.56659				41.00000				Departure				NA				Web Server				Client Station				
0.56659				65.00000				Scheduling				3				Web Server				Web Server				
0.56659				68.00000				Departure				NA				Web Server				Client Station				
0.56659				102.00000				Departure				NA				Web Server				Client Station				
0.56659				103.00000				Scheduling				1				Web Server				Web Server				
0.56685				23.00000				Departure				0				Web Server				DBMS Server				
0.56935				23.00000				Arrival					1				DBMS Server				Web Server				
0.56993					10.00000				Departure				2				Client Station				Web Server				
0.57385				23.00000				Departure				NA				Web Server				Client Station				
0.57385				103.00000				Scheduling				1				Web Server				Web Server				
0.57385				10.00000				Departure				NA				Web Server				Client Station				
0.57385				103.00000				Scheduling				0				Web Server				Web Server				
0.57740				83.00000				Arrival					0				DBMS Server				Web Server				
0.57783				103.00000				Departure				NA				Web Server				Client Station				
0.58065					33.00000				Departure				0				Client Station				Web Server				
0.58160				34.00000				Arrival					0				DBMS Server				Web Server				
0.58299				46.00000				Arrival					0				DBMS Server				Web Server				
0.58862				79.00000				Scheduling				0				Web Server				Web Server				
0.58862				110.00000				Scheduling				0				Web Server				Web Server				
0.59448					116.00000				Departure				1				Client Station				Web Server				
0.59695					36.00000				Departure				2				Client Station				Web Server				
0.59770				89.00000				Scheduling				2				Web Server				Web Server				
0.59770				116.00000				Departure				NA				Web Server				Client Station				
0.59770				36.00000				Departure				NA				Web Server				Client Station				
0.59770				89.00000				Scheduling				0				Web Server				Web Server				
0.59984					7.00000				Departure				1				Client Station				Web Server				
0.61296					82.00000				Departure				2				Client Station				Web Server				
0.61605				65.00000				Departure				0				Web Server				DBMS Server				
0.61629				79.00000				Departure				0				Web Server				DBMS Server				
0.61775				110.00000				Departure				NA				Web Server				Client Station				
0.61775				7.00000				Departure				NA				Web Server				Client Station				
0.61775				82.00000				Departure				NA				Web Server				Client Station				
0.62385				83.00000				Scheduling				0				Web Server				Web Server				
0.62783				46.00000				Scheduling				0				Web Server				Web Server				
0.62783				33.00000				Scheduling				0				Web Server				Web Server				
0.62783				34.00000				Scheduling				0				Web Server				Web Server				
0.62849					64.00000				Departure				0				Client Station				Web Server				
0.63288				64.00000				Departure				0				Web Server				DBMS Server				
0.58805				64.00000				Arrival					0				DBMS Server				Web Server				
0.63299				89.00000				Departure				NA				Web Server				Client Station				
0.63489					49.00000				Departure				0				Client Station				Web Server				
0.63794				64.00000				Departure				NA				Web Server				Client Station				
0.64116				83.00000				Departure				0				Web Server				DBMS Server				
0.64635					101.00000				Departure				0				Client Station				Web Server				
0.64769					4.00000				Departure				1				Client Station				Web Server				
0.64857					96.00000				Departure				2				Client Station				Web Server				
0.64934				34.00000				Departure				NA				Web Server				Client Station				
0.64934				4.00000				Departure				0				Web Server				DBMS Server				
0.65654					87.00000				Departure				2				Client Station				Web Server				
0.66066				79.00000				Arrival					2				DBMS Server				Web Server				
0.67054				46.00000				Departure				0				Web Server				DBMS Server				
0.67116					57.00000				Departure				3				Client Station				Web Server				
0.67135				49.00000				Departure				1				Web Server				DBMS Server				
0.67446					100.00000				Departure				4				Client Station				Web Server				
0.67611					28.00000				Departure				5				Client Station				Web Server				
0.67778				33.00000				Departure				2				Web Server				DBMS Server				
0.68245				65.00000				Arrival					5				DBMS Server				Web Server				
0.68245				49.00000				Arrival					5				DBMS Server				Web Server				
0.68245				33.00000				Arrival					5				DBMS Server				Web Server				
0.68435					62.00000				Departure				6				Client Station				Web Server				
0.69116				101.00000				Scheduling				6				Web Server				Web Server				
0.69116				96.00000				Departure				0				Web Server				DBMS Server				
0.69547					106.00000				Departure				7				Client Station				Web Server				
0.69934				79.00000				Scheduling				7				Web Server				Web Server				
0.69934				87.00000				Departure				NA				Web Server				Client Station				
0.69934				57.00000				Departure				NA				Web Server				Client Station				
0.69934				100.00000				Departure				NA				Web Server				Client Station				
0.69934				28.00000				Departure				1				Web Server				DBMS Server				
0.70030				83.00000				Arrival					4				DBMS Server				Web Server				
0.70030				28.00000				Arrival					4				DBMS Server				Web Server				
0.70550					112.00000				Departure				5				Client Station				Web Server				
0.70705					55.00000				Departure				6				Client Station				Web Server				
0.70983				96.00000				Arrival					6				DBMS Server				Web Server				
0.71080					30.00000				Departure				7				Client Station				Web Server				
0.71613				49.00000				Departure				0				Web Server				DBMS Server				
0.72527				28.00000				Departure				NA				Web Server				Client Station				
0.72527				62.00000				Departure				NA				Web Server				Client Station				
0.72527				101.00000				Scheduling				5				Web Server				Web Server				
0.72527				106.00000				Departure				0				Web Server				DBMS Server				
0.72618				96.00000				Departure				NA				Web Server				Client Station				
0.72618				79.00000				Scheduling				4				Web Server				Web Server				
0.72618				112.00000				Departure				NA				Web Server				Client Station				
0.72618				55.00000				Departure				1				Web Server				DBMS Server				
0.72778				65.00000				Scheduling				3				Web Server				Web Server				
0.72778				33.00000				Scheduling				3				Web Server				Web Server				
0.72778				30.00000				Departure				NA				Web Server				Client Station				
0.72778				79.00000				Scheduling				2				Web Server				Web Server				
0.72969				4.00000				Arrival					2				DBMS Server				Web Server				
0.72969				55.00000				Arrival					2				DBMS Server				Web Server				
0.74106				101.00000				Departure				0				Web Server				DBMS Server				
0.74902				49.00000				Arrival					2				DBMS Server				Web Server				
0.74934				83.00000				Scheduling				2				Web Server				Web Server				
0.75338				46.00000				Arrival					2				DBMS Server				Web Server				
0.75379					60.00000				Departure				3				Client Station				Web Server				
0.75866					17.00000				Departure				4				Client Station				Web Server				
0.76825					85.00000				Departure				5				Client Station				Web Server				
0.77478					37.00000				Departure				6				Client Station				Web Server				
0.77723				65.00000				Departure				NA				Web Server				Client Station				
0.77723				79.00000				Scheduling				5				Web Server				Web Server				
0.77778				4.00000				Scheduling				5				Web Server				Web Server				
0.77778				55.00000				Scheduling				5				Web Server				Web Server				
0.77778				60.00000				Departure				NA				Web Server				Client Station				
0.77778				17.00000				Departure				0				Web Server				DBMS Server				
0.76796				17.00000				Arrival					4				DBMS Server				Web Server				
0.77778				85.00000				Departure				0				Web Server				DBMS Server				
0.77152				85.00000				Arrival					4				DBMS Server				Web Server				
0.77941				49.00000				Departure				NA				Web Server				Client Station				
0.77941				37.00000				Departure				0				Web Server				DBMS Server				
0.78135				85.00000				Departure				NA				Web Server				Client Station				
0.78135				79.00000				Scheduling				2				Web Server				Web Server				
0.78147					40.00000				Departure				3				Client Station				Web Server				
0.78166				106.00000				Arrival					3				DBMS Server				Web Server				
0.78507				17.00000				Departure				0				Web Server				DBMS Server				
0.78895				17.00000				Arrival					3				DBMS Server				Web Server				
0.79236				17.00000				Departure				0				Web Server				DBMS Server				
0.79259					88.00000				Departure				4				Client Station				Web Server				
0.79296				101.00000				Arrival					4				DBMS Server				Web Server				
0.79454				83.00000				Departure				0				Web Server				DBMS Server				
0.79624				17.00000				Arrival					4				DBMS Server				Web Server				
0.79929				33.00000				Departure				NA				Web Server				Client Station				
0.79929				55.00000				Scheduling				3				Web Server				Web Server				
0.79934				46.00000				Scheduling				3				Web Server				Web Server				
0.79934				40.00000				Departure				0				Web Server				DBMS Server				
0.80183				17.00000				Departure				NA				Web Server				Client Station				
0.80183				88.00000				Departure				NA				Web Server				Client Station				
0.80183				55.00000				Scheduling				1				Web Server				Web Server				
0.80408					39.00000				Departure				2				Client Station				Web Server				
0.81563					24.00000				Departure				3				Client Station				Web Server				
0.81694					119.00000				Departure				4				Client Station				Web Server				
0.82329					6.00000				Departure				5				Client Station				Web Server				
0.82696				79.00000				Departure				0				Web Server				DBMS Server				
0.82804				4.00000				Departure				NA				Web Server				Client Station				
0.82804				55.00000				Scheduling				4				Web Server				Web Server				
