
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.83169				12.00000				Scheduling				3				Web Server				Web Server				
0.85220				2.00000				Departure				0				Web Server				DBMS Server				
0.90161				0.00000				Departure				NA				Web Server				Client Station				
0.90161				24.00000				Scheduling				2				Web Server				Web Server				
0.98094				2.00000				Arrival					2				DBMS Server				Web Server				
1.00082				9.00000				Scheduling				2				Web Server				Web Server				
1.00082				25.00000				Scheduling				2				Web Server				Web Server				
1.02272				4.00000				Arrival					2				DBMS Server				Web Server				
1.03950				19.00000				Arrival					2				DBMS Server				Web Server				
1.04672				27.00000				Departure				NA				Web Server				Client Station				
1.04672				9.00000				Scheduling				1				Web Server				Web Server				
1.05299				2.00000				Departure				NA				Web Server				Client Station				
1.05299				9.00000				Scheduling				0				Web Server				Web Server				
1.08704				20.00000				Departure				0				Web Server				DBMS Server				
1.13169				26.00000				Scheduling				0				Web Server				Web Server				
1.16929				24.00000				Departure				NA				Web Server				Client Station				
1.16968				25.00000				Departure				NA				Web Server				Client Station				
1.25113				26.00000				Departure				NA				Web Server				Client Station				
1.26512				12.00000				Departure				NA				Web Server				Client Station				
1.29142				19.00000				Departure				0				Web Server				DBMS Server				
1.30082				4.00000				Scheduling				0				Web Server				Web Server				
1.33010				19.00000				Arrival					0				DBMS Server				Web Server				
1.35299				9.00000				Scheduling				0				Web Server				Web Server				
1.37515				9.00000				Departure				0				Web Server				DBMS Server				
1.52493				20.00000				Arrival					0				DBMS Server				Web Server				
1.59142				19.00000				Departure				NA				Web Server				Client Station				
1.60082				4.00000				Scheduling				0				Web Server				Web Server				
1.67515				20.00000				Scheduling				0				Web Server				Web Server				
1.72601				4.00000				Departure				NA				Web Server				Client Station				
1.86058				20.00000				Departure				NA				Web Server				Client Station				
1.96167				9.00000				Arrival					0				DBMS Server				Web Server				
2.16058				9.00000				Scheduling				0				Web Server				Web Server				
2.46058				9.00000				Scheduling				0				Web Server				Web Server				
2.48274				9.00000				Departure				NA				Web Server				Client Station				
Experiment Number 9 Drop Packet Rate:0.00000 Success Packet :30.00000 Web Service Time :10.42237 DBMS Service Time :7.16036 Total Service Time :17.58272 Total Wait Time :10.36380 webcoreUtilisation:0.62998
 dbmscoreUtilisation:0.61033 dbms wait time :0.48394 Through put :12.08343 Badput :0.00000 GoodPut :12.08343 TimeOut Request:0.00000
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
------------------------------------------------------------------------------------------------------------------------------------------------------
0.00178					34.00000				Departure				0				Client Station				Web Server				
0.00253					13.00000				Departure				0				Client Station				Web Server				
0.00288					24.00000				Departure				0				Client Station				Web Server				
0.00457					44.00000				Departure				0				Client Station				Web Server				
0.00493					47.00000				Departure				0				Client Station				Web Server				
0.00517					40.00000				Departure				0				Client Station				Web Server				
0.00530					33.00000				Departure				0				Client Station				Web Server				
0.00563					0.00000				Departure				0				Client Station				Web Server				
0.00680					27.00000				Departure				1				Client Station				Web Server				
0.00861					20.00000				Departure				2				Client Station				Web Server				
0.00866					3.00000				Departure				3				Client Station				Web Server				
0.00964					12.00000				Departure				4				Client Station				Web Server				
0.01050					6.00000				Departure				5				Client Station				Web Server				
0.01215					35.00000				Departure				6				Client Station				Web Server				
0.01342					45.00000				Departure				7				Client Station				Web Server				
0.01355					30.00000				Departure				8				Client Station				Web Server				
0.01706					23.00000				Departure				9				Client Station				Web Server				
0.01794					36.00000				Departure				10				Client Station				Web Server				
0.02036					26.00000				Departure				11				Client Station				Web Server				
